pack_path,source_path,purpose,snapshot_status
registries/formula_registry.csv,reports/final_verification/20260722_141353/equation_unit_verification.csv,Formula definitions source execution tests validation and blockers,SNAPSHOT_REVIEW_EVIDENCE
registries/unit_registry.json,config/unit_registry.json,Canonical engineering units,CANONICAL_CONFIG_SNAPSHOT
registries/property_model_registry.json,config/property_model_registry.json,Crude property models and limitations,CANONICAL_CONFIG_SNAPSHOT
registries/area_and_f_registry.json,config/area_and_f_registry.json,HX area and correction-factor approval state,CANONICAL_CONFIG_SNAPSHOT
registries/configuration_topology.json,config/configuration_topology.json,Topology grouping substitution and inference rules,CANONICAL_CONFIG_SNAPSHOT
registries/dashboard_data_contracts.yaml,config/data_contracts.yaml,Backend-to-dashboard schema contracts,CANONICAL_CONFIG_SNAPSHOT
registries/model_registry.csv,reports/final_verification/20260722_141353/model_verification_register.csv,Detailed model attempts validation and blockers,SNAPSHOT_REVIEW_EVIDENCE
registries/model_leaderboard.csv,reports/tables/mvp_real_data/full_engineering_program/batch_04/model_leaderboard.csv,Chronological benchmark metrics,EXECUTED_PROVISIONAL_OUTPUT
registries/network_validation_gates.csv,reports/tables/mvp_real_data/full_engineering_program/batch_05/network_validation_registry.csv,Network gate results,EXECUTED_PROVISIONAL_OUTPUT
registries/cleaning_event_registry.csv,reports/tables/mvp_real_data/full_engineering_program/batch_03/event_consensus_registry.csv,Candidate event definitions and evidence,EXECUTED_PROVISIONAL_OUTPUT
registries/cleaning_event_method_comparison.csv,reports/tables/mvp_real_data/full_engineering_program/batch_03/event_method_comparison.csv,Event-method comparison,EXECUTED_PROVISIONAL_OUTPUT
registries/hx_by_hx_coverage.csv,reports/tables/mvp_real_data/delivery_sprint/hx_by_hx_coverage.csv,HX coverage and readiness,EXECUTED_PROVISIONAL_OUTPUT
registries/stage_status.csv,reports/tables/mvp_real_data/delivery_sprint/end_to_end_stage_table.csv,End-to-end stage maturity,STATUS_SNAPSHOT
registries/blocker_register.csv,reports/tables/mvp_real_data/delivery_sprint/blocker_register.csv,Critical blockers,STATUS_SNAPSHOT
registries/dashboard_readiness.csv,reports/tables/mvp_real_data/delivery_sprint/dashboard_readiness_report.csv,Allowed and prohibited dashboard levels,STATUS_SNAPSHOT
evidence/engineering_sense_check_register.csv,reports/final_verification/20260722_141353/engineering_sense_check_register.csv,Independent sense checks,SNAPSHOT_REVIEW_EVIDENCE
evidence/model_verification_register.csv,reports/final_verification/20260722_141353/model_verification_register.csv,Independent model verification,SNAPSHOT_REVIEW_EVIDENCE
evidence/targeted_test_results.json,reports/final_verification/20260722_141353/targeted_test_results.json,Targeted test result snapshot,SNAPSHOT_REVIEW_EVIDENCE
evidence/dashboard_verification_report.md,reports/final_verification/20260722_141353/dashboard_verification_report.md,Dashboard inspection summary,SNAPSHOT_REVIEW_EVIDENCE
outputs/reconciliation_summary.json,reports/tables/mvp_real_data/reconciliation_pilot/reconciliation_summary.json,Measured-versus-reconciled CPHT2 pilot summary,EXECUTED_PROVISIONAL_OUTPUT
outputs/empirical_reference_summary.csv,reports/tables/mvp_real_data/empirical_relative_performance/exploratory_summary.csv,Empirical-reference relative performance summary,EXECUTED_EXPLORATORY_OUTPUT
outputs/network_status.json,reports/tables/mvp_real_data/cpht2_mix_validation/network_status.json,Network validation status,EXECUTED_PROVISIONAL_OUTPUT
outputs/furnace_estimate.csv,reports/tables/mvp_real_data/delivery_sprint/furnace_estimate.csv,Furnace consequence estimate,EXECUTED_PROVISIONAL_OUTPUT
outputs/forecast_benchmark.csv,reports/tables/mvp_real_data/delivery_sprint/forecast_benchmark.csv,Forecast baseline comparison,EXECUTED_PROVISIONAL_OUTPUT
outputs/optimization_readiness.csv,reports/tables/mvp_real_data/decision_support/optimization_readiness.csv,Decision and optimization prerequisites,STATUS_SNAPSHOT
outputs/dashboard_snapshot_manifest.json,reports/tables/mvp_real_data/delivery_sprint/dashboard_snapshot/manifest.json,Dashboard snapshot identity and contract example,SNAPSHOT_REVIEW_EVIDENCE
screenshots/*.jpg,reports/final_verification/20260722_141353/gallery/*.jpg,Selected current dashboard views,SNAPSHOT_UI_EVIDENCE
