hx_id,method,candidate_count,selected_status,confirmation_allowed
E101AB,CUSUM_POSITIVE_INNOVATION,19,BENCHMARK_ONLY,False
E101AB,EWMA_STATE_INNOVATION,8,BENCHMARK_ONLY,False
E101AB,ROBUST_MEDIAN_STEP,5,BENCHMARK_ONLY,False
E101CD,CUSUM_POSITIVE_INNOVATION,20,BENCHMARK_ONLY,False
E101CD,EWMA_STATE_INNOVATION,9,BENCHMARK_ONLY,False
E101CD,ROBUST_MEDIAN_STEP,3,BENCHMARK_ONLY,False
E102,CUSUM_POSITIVE_INNOVATION,23,BENCHMARK_ONLY,False
E102,EWMA_STATE_INNOVATION,10,BENCHMARK_ONLY,False
E102,ROBUST_MEDIAN_STEP,3,BENCHMARK_ONLY,False
E104,CUSUM_POSITIVE_INNOVATION,11,BENCHMARK_ONLY,False
E104,EWMA_STATE_INNOVATION,11,BENCHMARK_ONLY,False
E104,ROBUST_MEDIAN_STEP,3,BENCHMARK_ONLY,False
