"formula_id","engineering_purpose","canonical_equation","canonical_function","source_file","required_inputs","required_units","output","output_unit","applicable_HX","real_data_executed","valid_record_count","test_coverage","validation_status","blocker","downstream_use","verification_status","review_note","registry_source_generation"
"F01","Volumetric-to-mass flow","m_dot=V_dot*rho/3600","calculate_mass_flow","src/calculations/heat_duty.py","volumetric flow; density","m3/h; kg/m3","mass_flow_kg_s","kg/s","15 mapped HX","True","21686","test_mvp_engineering_characterization;test_mvp_real_data","IMPLEMENTED_AND_VALIDATED","","Qcold;CIT;furnace","VERIFIED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F02","Crude density and Cp","Cp,rho=correlation(T,SG)","calculate_crude_cp;calculate_crude_density;calculate_crude_enthalpy_change","src/domain/crude_properties.py","mean crude temperature;SG15.6","degC;dimensionless","crude_cp_and_density","kJ/kg-K;kg/m3","15 mapped HX","True","21686","test_mvp_engineering_characterization;test_batch1_formula_completion","IMPLEMENTED_AND_EXECUTED","correlation status CANDIDATE and operating range not engineer-approved","mass flow;Qcold","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F03","Cold-side heat duty","Qcold=m_dot*Cp*(Tout-Tin)","calculate_cold_side_heat_duty","src/calculations/heat_duty.py","flow;rho;Cp;cold in;cold out","m3/h;kg/m3;kJ/kg-K;degC;degC","q_cold_kw","kW","15 mapped HX","True","21686","test_mvp_engineering_characterization;test_mvp_real_data","IMPLEMENTED_AND_VALIDATED","","HX performance","VERIFIED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F04","Hot-side heat duty","Qhot=m_hot*Cp_hot*(Tin-Tout)","NONE","NONE","hot flow;hot properties;hot temperatures","kg/s;kJ/kg-K;degC","q_hot_kw","kW","All HX","False","0","NONE","BLOCKED_BY_DATA","approved hot-stream flow and properties unavailable","energy closure","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F05","Reconciled heat duty","Qrec=weighted reconcile(Qcold,Qhot)","reconcile_heat_duties","src/calculations/heat_duty.py","Qcold;Qhot;uncertainties","kW","q_reconciled_kw","kW","All HX","False","0","test_batch1_formula_completion","IMPLEMENTED_NOT_EXECUTED","Qhot and uncertainty basis unavailable","network model","IMPLEMENTED_NOT_EXECUTED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F06","Terminal temperature differences","dT1=Th_in-Tc_out;dT2=Th_out-Tc_in","calculate_physics","pipeline/run_mvp_real_data.py","four temperatures","degC","terminal_temperature_differences_c","degC","15 mapped HX","True","21686","test_mvp_engineering_characterization;test_mvp_real_data","IMPLEMENTED_AND_VALIDATED","","LMTD","VERIFIED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F07","Log-mean temperature difference","LMTD=(dT1-dT2)/ln(dT1/dT2)","calculate_lmtd","src/calculations/heat_transfer.py","dT1;dT2","degC","lmtd_c","degC","15 mapped HX","True","21686","test_mvp_engineering_characterization","IMPLEMENTED_AND_VALIDATED","","UA","VERIFIED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F08","LMTD correction factor","UA denominator includes F","calculate_ua","src/calculations/heat_transfer.py","F","dimensionless","correction_factor_f","dimensionless","15 mapped HX","True","21686","test_mvp_engineering_characterization","IMPLEMENTED_NOT_VALIDATED","F=1 screening assumption not verified by configuration","UA","EXECUTED_NOT_VALIDATED","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F09","Overall conductance","UA=Q/(F*LMTD)","calculate_ua","src/calculations/heat_transfer.py","Q;F;LMTD","kW;dimensionless;K","ua_kw_per_k","kW/K","15 mapped HX","True","21686","test_mvp_engineering_characterization","IMPLEMENTED_AND_EXECUTED","F factor unverified","HX performance;reference","VERIFIED_PROVISIONAL_INPUT","Equation/unit traceable; plant input or approval remains provisional","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
"F10","Area-normalized coefficient","U=UA/A","calculate_u_from_ua","src/calculations/overall_heat_transfer.py","UA;verified area;verified F","kW/K;m2","u_w_per_m2_k","W/m2-K","All HX","False","0","test_overall_heat_transfer","BLOCKED_BY_DATA","approved transferable area shell basis and F unavailable","area-normalized condition","BLOCKED_BY_DATA","Registry and source/test trace reviewed","CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN"
