task,model_name,model_family,implementation_file,training_scope,target,features,valid_training_records,valid_test_records,validation_split,leakage_check,metrics,physical_rule_checks,selected_status,rejection_reason,blocker,review_status,registry_source_generation
A clean/reference performance,Provisional-window median,robust descriptive,pipeline/explore_empirical_relative_performance.py,per HX approved provisional period,empirical reference UA,operating-valid UA,window dependent,not applicable,window-only no future rows,explicit no-look-ahead tests,median/IQR/sensitivity,positive finite UA and operating mask,SELECTED_PROVISIONAL,not confirmed clean,maintenance evidence absent,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
A clean/reference performance,Ridge operating-adjusted screen,regularized linear,pipeline/build_mvp_coverage_outputs.py,15 HX chronological 80/20,U or apparent performance,flow;LMTD;Tin;SG;time,per HX 767-1451,per HX 192-363,chronological 80/20,target excluded from features,holdout RMSE and RMSE/test SD,no causal interpretation,BENCHMARK_ONLY,area-scaled metric and weak generalization on several HX,verified area/F absent,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
A clean/reference performance,Confirmed clean-window median,physics-governed descriptive,src/models/clean_baseline.py,none,clean UA,approved clean records,0,0,not run,no look-ahead unit tests,not available,positive UA and valid operation,BLOCKED,not executed,no confirmed clean window,BLOCKED,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
B HX-CIT relationship,Persistence CIT,simple baseline,pipeline/screen_hx_cit_relationships.py,per HX chronological train,measured CIT,last train CIT,per HX 767-1451,per HX 192-363,chronological 80/20,target leakage flags,RMSE,measured target only,BENCHMARK_ONLY,baseline comparison only,network causality unavailable,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
B HX-CIT relationship,Pearson/Spearman/partial correlation,interpretable statistical,pipeline/screen_hx_cit_relationships.py,15 HX valid operating records,measured CIT,UA;Qcold;Tout;LMTD;flow;hot inlet;controls,959-1814,not applicable,descriptive and lag screen,E113A identity warning,correlations and best lag,no causal claim,BENCHMARK_ONLY,association only,topology and confounding,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
B HX-CIT relationship,Ridge CIT screen,regularized linear,pipeline/screen_hx_cit_relationships.py,15 HX chronological 80/20,measured CIT,UA;Qcold;LMTD;flow;temperatures;SG,767-1451,192-363,chronological 80/20,E113A derived-target warning,holdout and persistence RMSE,no cleaning-benefit claim,SELECTED_PROVISIONAL,screening only,network not validated,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
B HX-CIT relationship,Full physics network,physics model,NONE,none,measured CIT,full topology and states,0,0,not run,not applicable,not available,split/mix/node closure,BLOCKED,not implemented,E105AB and terminal propagation unresolved,BLOCKED,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C condition/fouling trend,Persistence relative UA,simple baseline,pipeline/forecast_empirical_performance.py,180 recent records per HX,relative UA,last observed value,144,36,chronological holdout,empirical semantics retained,RMSE,not a fouling claim,BENCHMARK_ONLY,baseline only,confirmed fouling absent,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C condition/fouling trend,Linear relative-UA trend,interpretable statistical,pipeline/forecast_empirical_performance.py,180 recent records per HX,relative UA,time,144,36,chronological holdout,no future records,RMSE and slope,empirical reference label,SELECTED_PROVISIONAL,beats persistence only for E101CD,no confirmed clean baseline,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C condition/fouling trend,Robust confirmed fouling rate,robust statistical,src/calculations/fouling.py,none,confirmed Rf or normalized UA,time and state mask,0,0,not run,state-mask unit tests,not available,state exclusion,BLOCKED,not executed,verified U and confirmed clean unavailable,BLOCKED,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
D pilot network temperature propagation,Measured-node continuity,simple physical baseline,src/network/validation.py,shared/adjacent tags,node temperature,upstream measured temperature,not fitted,206,chronological pilot period,shared-tag independence reported,MAE and bias,continuity and bounds,BENCHMARK_ONLY,not independent at shared tags,limited independent sensors,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
D pilot network temperature propagation,Ridge sequential propagation,hybrid interpretable,pipeline/run_critical_correction_batch.py,E103AB to E104,downstream node temperature,flow;temperatures;SG,822,206,chronological 80/20,no target in upstream features,MAE 3.25C intermediate;7.85C outlet,pilot provisional thresholds,SELECTED_PROVISIONAL,pilot only,E105AB excluded,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
E furnace relationship,Physics furnace duty,physics model,pipeline/analyze_f101_consequence.py,F101 valid records,furnace duty,mass flow;Cp;CIT;COT,not fitted,1579,real-data equation,no target leakage,valid count and duty distribution,positive flow/Cp and COT>CIT,SELECTED_PROVISIONAL,not fuel attribution,efficiency/LHV unavailable,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
E furnace relationship,Fuel persistence,simple baseline,pipeline/analyze_f101_consequence.py,chronological holdout,fuel gas,last training fuel,training subset,test subset,chronological holdout,no leakage,RMSE 0.957 kNm3/h,none,BENCHMARK_ONLY,baseline only,operating-mode validation incomplete,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
E furnace relationship,Linear fuel versus physics duty,interpretable statistical,pipeline/analyze_f101_consequence.py,1579 valid records,fuel gas,physics furnace duty,chronological train,chronological test,chronological holdout,no leakage,RMSE 0.473 kNm3/h,causal efficiency interpretation prohibited,SELECTED_PROVISIONAL,association not efficiency,approved LHV/efficiency absent,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
F forecast,Persistence relative UA,simple baseline,pipeline/forecast_empirical_performance.py,per HX 180 recent records,relative UA,last observed value,144,36,chronological holdout,no future records,RMSE 0.00354-0.01309,empirical semantics,BENCHMARK_ONLY,baseline,threshold absent,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
F forecast,Linear trend,interpretable statistical,pipeline/forecast_empirical_performance.py,per HX 180 recent records,relative UA,time,144,36,chronological holdout,no future records,RMSE 0.00731-0.01212,empirical semantics,SELECTED_PROVISIONAL,selected only E101CD by benchmark; others rejected,no approved action threshold,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
F forecast,Advanced ML benchmark,advanced ML,NONE,not attempted,relative UA,not applicable,0,0,not applicable,not applicable,not available,not applicable,NOT_APPLICABLE,data do not justify extra model,none,NOT_APPLICABLE,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
G monitoring decision,Continue monitoring,simple baseline,pipeline/build_fast_track_decision_support.py,17 HX,monitor status,availability and feasibility,17,0,no time validation,no causal inputs,rule outcome,human review required,BENCHMARK_ONLY,default only,consequence absent,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
G monitoring decision,Rule-based evidence score,interpretable rules,pipeline/build_fast_track_decision_support.py,17 HX,monitoring rank,coverage;signal candidates;relative loss;trend,17,0,no time validation,confirmed-clean fields not used,score/rank,final cleaning recommendation forced false,SELECTED_PROVISIONAL,not benchmark validated,network consequence economics and maintenance evidence absent,SELECTED_PROVISIONAL,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C cleaning-event detection,Robust step screen,robust statistical,src/events/change_detection.py,four empirical-reference HX,UA recovery candidate,relative UA/time,0,0,descriptive,no confirmed labels used,candidate count,operating mask,BENCHMARK_ONLY,screen only,no maintenance labels,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C cleaning-event detection,CUSUM recovery screen,change detection,src/events/change_detection.py,four empirical-reference HX,UA recovery candidate,relative UA/time,0,0,descriptive,no confirmed labels used,candidate count,operating mask,BENCHMARK_ONLY,screen only,no maintenance labels,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
C cleaning-event detection,EWMA innovation screen,change detection,src/events/change_detection.py,four empirical-reference HX,UA recovery candidate,relative UA/time,0,0,descriptive,no confirmed labels used,candidate count,operating mask,BENCHMARK_ONLY,screen only,no maintenance labels,BENCHMARK_ONLY,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
I optimization model,Constrained cleaning schedule,optimization,src/optimization,none,cleaning schedule,network consequence;cost;constraints,0,0,not run,not applicable,not available,feasibility and network closure,BLOCKED,not executed,network/economics/maintenance constraints unavailable,BLOCKED,CHECKPOINT_ONLY_MISSING_FROM_CANONICAL_RERUN
